"Statistic Label","Year","Type of Vehicle","UNIT","VALUE"
"Vehicle Population","2020","Motor cycles","Number","43491"
"Vehicle Population","2020","Tractors & Machinery","Number","85504"
"Vehicle Population","2020","Small PSVs","Number","19989"
"Vehicle Population","2020","Large PSVs","Number","10833"
"Vehicle Population","2020","Exempt vehicles","Number","29820"
"Vehicle Population","2020","Other vehicles","Number","74824"
"Vehicle Population","2021","Private cars","Number","2248916"
"Vehicle Population","2021","Goods vehicles","Number","382144"
"Vehicle Population","2021","Motor cycles","Number","45853"
"Vehicle Population","2021","Tractors & Machinery","Number","86469"
"Vehicle Population","2021","Small PSVs","Number","18108"
"Vehicle Population","2021","Large PSVs","Number","10639"
"Vehicle Population","2021","Exempt vehicles","Number","29933"
"Vehicle Population","2021","Other vehicles","Number","79342"
"Vehicle Population","2022","Private cars","Number","2266198"
"Vehicle Population","2022","Goods vehicles","Number","387723"
"Vehicle Population","2022","Motor cycles","Number","47056"
"Vehicle Population","2022","Tractors & Machinery","Number","83780"
"Vehicle Population","2022","Small PSVs","Number","17819"
"Vehicle Population","2022","Large PSVs","Number","11380"
"Vehicle Population","2022","Exempt vehicles","Number","30356"
"Vehicle Population","2022","Other vehicles","Number","83238"
